member_id,email,password,name,role,created_by,created_date,last_modified_by,last_modified_date
1,student00001@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00001,ROLE_USER,\N,\N,\N,\N
2,student00002@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00002,ROLE_USER,\N,\N,\N,\N
3,student00003@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00003,ROLE_USER,\N,\N,\N,\N
4,student00004@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00004,ROLE_USER,\N,\N,\N,\N
5,student00005@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00005,ROLE_USER,\N,\N,\N,\N
6,student00006@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00006,ROLE_USER,\N,\N,\N,\N
7,student00007@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00007,ROLE_USER,\N,\N,\N,\N
8,student00008@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00008,ROLE_USER,\N,\N,\N,\N
9,student00009@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00009,ROLE_USER,\N,\N,\N,\N
10,student00010@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00010,ROLE_USER,\N,\N,\N,\N
11,student00011@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00011,ROLE_USER,\N,\N,\N,\N
12,student00012@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00012,ROLE_USER,\N,\N,\N,\N
13,student00013@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00013,ROLE_USER,\N,\N,\N,\N
14,student00014@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00014,ROLE_USER,\N,\N,\N,\N
15,student00015@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00015,ROLE_USER,\N,\N,\N,\N
16,student00016@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00016,ROLE_USER,\N,\N,\N,\N
17,student00017@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00017,ROLE_USER,\N,\N,\N,\N
18,student00018@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00018,ROLE_USER,\N,\N,\N,\N
19,student00019@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00019,ROLE_USER,\N,\N,\N,\N
20,student00020@mock.local,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Student 00020,ROLE_USER,\N,\N,\N,\N
